GoModel,GQLModel,TableName,EmbeddedStruct,GoField,DataType,GQLField,DBField
PlanGeneralCharacteristics,PlanGeneralCharacteristics,plan_general_characteristics,null,AuthorityAllowancesNote,*string,authorityAllowancesNote,authority_allowances_note
PlanGeneralCharacteristics,PlanGeneralCharacteristics,plan_general_characteristics,null,WaiversRequired,*bool,waiversRequired,waivers_required
PlanGeneralCharacteristics,PlanGeneralCharacteristics,plan_general_characteristics,null,WaiversRequiredTypes,pq.StringArray,waiversRequiredTypes,waivers_required_types
PlanGeneralCharacteristics,PlanGeneralCharacteristics,plan_general_characteristics,null,WaiversRequiredNote,*string,waiversRequiredNote,waivers_required_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct,ID,uuid.UUID,id,id
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct | models.createdByRelation | time.Time,loc,*time.Location,,
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct | models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.baseStruct | models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection | models.modelPlanRelation,ModelPlanID,uuid.UUID,modelPlanID,model_plan_id
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection,ReadyForReviewBy,*uuid.UUID,readyForReviewBy,ready_for_review_by
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection,ReadyForReviewDts,*time.Time,readyForReviewDts,ready_for_review_dts
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection,ReadyForClearanceBy,*uuid.UUID,readyForClearanceBy,ready_for_clearance_by
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection,ReadyForClearanceDts,*time.Time,readyForClearanceDts,ready_for_clearance_dts
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,models.baseTaskListSection,Status,models.TaskStatus,status,status
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AgencyOrStateHelp,pq.StringArray,agencyOrStateHelp,agency_or_state_help
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AgencyOrStateHelpOther,*string,agencyOrStateHelpOther,agency_or_state_help_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AgencyOrStateHelpNote,*string,agencyOrStateHelpNote,agency_or_state_help_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,Stakeholders,pq.StringArray,stakeholders,stakeholders
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,StakeholdersOther,*string,stakeholdersOther,stakeholders_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,StakeholdersNote,*string,stakeholdersNote,stakeholders_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,HelpdeskUse,*bool,helpdeskUse,helpdesk_use
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,HelpdeskUseNote,*string,helpdeskUseNote,helpdesk_use_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ContractorSupport,pq.StringArray,contractorSupport,contractor_support
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ContractorSupportOther,*string,contractorSupportOther,contractor_support_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ContractorSupportHow,*string,contractorSupportHow,contractor_support_how
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ContractorSupportNote,*string,contractorSupportNote,contractor_support_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,IddocSupport,*bool,iddocSupport,iddoc_support
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,IddocSupportNote,*string,iddocSupportNote,iddoc_support_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,TechnicalContactsIdentified,*bool,technicalContactsIdentified,technical_contacts_identified
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,TechnicalContactsIdentifiedDetail,*string,technicalContactsIdentifiedDetail,technical_contacts_identified_detail
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,TechnicalContactsIdentifiedNote,*string,technicalContactsIdentifiedNote,technical_contacts_identified_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,CaptureParticipantInfo,*bool,captureParticipantInfo,capture_participant_info
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,CaptureParticipantInfoNote,*string,captureParticipantInfoNote,capture_participant_info_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,IcdOwner,*string,icdOwner,icd_owner
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DraftIcdDueDate,*time.Time,draftIcdDueDate,draft_icd_due_date
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,IcdNote,*string,icdNote,icd_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,UatNeeds,*string,uatNeeds,uat_needs
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,StcNeeds,*string,stcNeeds,stc_needs
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,TestingTimelines,*string,testingTimelines,testing_timelines
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,TestingNote,*string,testingNote,testing_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataMonitoringFileTypes,pq.StringArray,dataMonitoringFileTypes,data_monitoring_file_types
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataMonitoringFileOther,*string,dataMonitoringFileOther,data_monitoring_file_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataResponseType,*string,dataResponseType,data_response_type
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataResponseFileFrequency,*string,dataResponseFileFrequency,data_response_file_frequency
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataFullTimeOrIncremental,*models.DataFullTimeOrIncrementalType,dataFullTimeOrIncremental,data_full_time_or_incremental
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,EftSetUp,*bool,eftSetUp,eft_set_up
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,UnsolicitedAdjustmentsIncluded,*bool,unsolicitedAdjustmentsIncluded,unsolicited_adjustments_included
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataFlowDiagramsNeeded,*bool,dataFlowDiagramsNeeded,data_flow_diagrams_needed
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ProduceBenefitEnhancementFiles,*bool,produceBenefitEnhancementFiles,produce_benefit_enhancement_files
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,FileNamingConventions,*string,fileNamingConventions,file_naming_conventions
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataMonitoringNote,*string,dataMonitoringNote,data_monitoring_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,BenchmarkForPerformance,*models.BenchmarkForPerformanceType,benchmarkForPerformance,benchmark_for_performance
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,BenchmarkForPerformanceNote,*string,benchmarkForPerformanceNote,benchmark_for_performance_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ComputePerformanceScores,*bool,computePerformanceScores,compute_performance_scores
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ComputePerformanceScoresNote,*string,computePerformanceScoresNote,compute_performance_scores_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,RiskAdjustPerformance,*bool,riskAdjustPerformance,risk_adjust_performance
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,RiskAdjustFeedback,*bool,riskAdjustFeedback,risk_adjust_feedback
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,RiskAdjustPayments,*bool,riskAdjustPayments,risk_adjust_payments
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,RiskAdjustOther,*bool,riskAdjustOther,risk_adjust_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,RiskAdjustNote,*string,riskAdjustNote,risk_adjust_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppealPerformance,*bool,appealPerformance,appeal_performance
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppealFeedback,*bool,appealFeedback,appeal_feedback
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppealPayments,*bool,appealPayments,appeal_payments
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppealOther,*bool,appealOther,appeal_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppealNote,*string,appealNote,appeal_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,EvaluationApproaches,pq.StringArray,evaluationApproaches,evaluation_approaches
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,EvaluationApproachOther,*string,evaluationApproachOther,evaluation_approach_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,EvalutaionApproachNote,*string,evalutaionApproachNote,evalutaion_approach_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,CcmInvolvment,pq.StringArray,ccmInvolvment,ccm_involvment
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,CcmInvolvmentOther,*string,ccmInvolvmentOther,ccm_involvment_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,CcmInvolvmentNote,*string,ccmInvolvmentNote,ccm_involvment_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataNeededForMonitoring,pq.StringArray,dataNeededForMonitoring,data_needed_for_monitoring
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataNeededForMonitoringOther,*string,dataNeededForMonitoringOther,data_needed_for_monitoring_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataNeededForMonitoringNote,*string,dataNeededForMonitoringNote,data_needed_for_monitoring_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataToSendParticicipants,pq.StringArray,dataToSendParticicipants,data_to_send_particicipants
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataToSendParticicipantsOther,*string,dataToSendParticicipantsOther,data_to_send_particicipants_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataToSendParticicipantsNote,*string,dataToSendParticicipantsNote,data_to_send_particicipants_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ShareCclfData,*bool,shareCclfData,share_cclf_data
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ShareCclfDataNote,*string,shareCclfDataNote,share_cclf_data_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,SendFilesBetweenCcw,*bool,sendFilesBetweenCcw,send_files_between_ccw
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,SendFilesBetweenCcwNote,*string,sendFilesBetweenCcwNote,send_files_between_ccw_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppToSendFilesToKnown,*bool,appToSendFilesToKnown,app_to_send_files_to_known
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppToSendFilesToWhich,*string,appToSendFilesToWhich,app_to_send_files_to_which
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AppToSendFilesToNote,*string,appToSendFilesToNote,app_to_send_files_to_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,UseCcwForFileDistribiutionToParticipants,*bool,useCcwForFileDistribiutionToParticipants,use_ccw_for_file_distribiution_to_participants
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,UseCcwForFileDistribiutionToParticipantsNote,*string,useCcwForFileDistribiutionToParticipantsNote,use_ccw_for_file_distribiution_to_participants_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DevelopNewQualityMeasures,*bool,developNewQualityMeasures,develop_new_quality_measures
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DevelopNewQualityMeasuresNote,*string,developNewQualityMeasuresNote,develop_new_quality_measures_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,QualityPerformanceImpactsPayment,*bool,qualityPerformanceImpactsPayment,quality_performance_impacts_payment
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,QualityPerformanceImpactsPaymentNote,*string,qualityPerformanceImpactsPaymentNote,quality_performance_impacts_payment_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataSharingStarts,*models.DataStartsType,dataSharingStarts,data_sharing_starts
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataSharingStartsOther,*string,dataSharingStartsOther,data_sharing_starts_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataSharingFrequency,pq.StringArray,dataSharingFrequency,data_sharing_frequency
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataSharingFrequencyOther,*string,dataSharingFrequencyOther,data_sharing_frequency_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataSharingStartsNote,*string,dataSharingStartsNote,data_sharing_starts_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataCollectionStarts,*models.DataStartsType,dataCollectionStarts,data_collection_starts
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataCollectionStartsOther,*string,dataCollectionStartsOther,data_collection_starts_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataCollectionFrequency,pq.StringArray,dataCollectionFrequency,data_collection_frequency
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataCollectionFrequencyOther,*string,dataCollectionFrequencyOther,data_collection_frequency_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,DataCollectionFrequencyNote,*string,dataCollectionFrequencyNote,data_collection_frequency_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,QualityReportingStarts,*models.DataStartsType,qualityReportingStarts,quality_reporting_starts
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,QualityReportingStartsOther,*string,qualityReportingStartsOther,quality_reporting_starts_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,QualityReportingStartsNote,*string,qualityReportingStartsNote,quality_reporting_starts_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ModelLearningSystems,pq.StringArray,modelLearningSystems,model_learning_systems
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ModelLearningSystemsOther,*string,modelLearningSystemsOther,model_learning_systems_other
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,ModelLearningSystemsNote,*string,modelLearningSystemsNote,model_learning_systems_note
PlanOpsEvalAndLearning,PlanOpsEvalAndLearning,plan_ops_eval_and_learning,null,AnticipatedChallenges,*string,anticipatedChallenges,anticipated_challenges
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct,ID,uuid.UUID,id,id
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct | models.createdByRelation | time.Time,loc,*time.Location,,
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct | models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.baseStruct | models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection | models.modelPlanRelation,ModelPlanID,uuid.UUID,modelPlanID,model_plan_id
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection,ReadyForReviewBy,*uuid.UUID,readyForReviewBy,ready_for_review_by
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection,ReadyForReviewDts,*time.Time,readyForReviewDts,ready_for_review_dts
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection,ReadyForClearanceBy,*uuid.UUID,readyForClearanceBy,ready_for_clearance_by
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection,ReadyForClearanceDts,*time.Time,readyForClearanceDts,ready_for_clearance_dts
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,models.baseTaskListSection,Status,models.TaskStatus,status,status
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,null,Participants,pq.StringArray,participants,participants
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,null,MedicareProviderType,*string,medicareProviderType,medicare_provider_type
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,null,StatesEngagement,*string,statesEngagement,states_engagement
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,null,ParticipantsOther,*string,participantsOther,participants_other
PlanParticipantsAndProviders,PlanParticipantsAndProviders,plan_participants_and_providers,null,ParticipantsNote,*string,participantsNote,participants_note
